Work type,Issue ID,Summary,Epic Name,Parent,Components,Status,Story Points,Labels,Labels,Labels,Blocked By,Blocked By,Blocked By,Description
Epic,1,Phase 1 · Finish Fleet Operations,Phase 1 · Finish Fleet Operations,,aiops,TO DO,,phase-p1,,,,,,"Bulk SCCM UI and approval gating shipped — make collection targeting real and close the gating gaps before it is demo-ready.

Tracker id: p1"
Epic,2,Phase 2 · Complete the incident → change automation,Phase 2 · Complete the incident → change automation,,aiops,TO DO,,phase-p2,,,,,,"The records and links exist; the automation that connects them does not. Turn the partial agents into the continuous incident-to-scheduled-change flow.

Tracker id: p2"
Epic,3,Phase 3 · Major-incident war room on live data,Phase 3 · Major-incident war room on live data,,aiops,TO DO,,phase-p3,,,,,,"The war-room screen is presentational — give it a real backend and a live-regenerated executive summary.

Tracker id: p3"
Epic,4,Phase 4 · Metrics & SLA on real data,Phase 4 · Metrics & SLA on real data,,aiops,TO DO,,phase-p4,,,,,,"Replace the hardcoded charts and client-side SLA math with backend aggregates.

Tracker id: p4"
Epic,5,Phase 5 · Ingestion channels & realtime,Phase 5 · Ingestion channels & realtime,,aiops,TO DO,,phase-p5,,,,,,"Let tickets arrive from outside the console and generalize the live event hub.

Tracker id: p5"
Epic,6,Phase 6 · Drop the scaffolding,Phase 6 · Drop the scaffolding,,aiops,TO DO,,phase-p6,,,,,,"Make the demo run on live data and a real runbook target instead of fixtures and mocks.

Tracker id: p6"
Epic,7,Phase 7 · Presenter polish,Phase 7 · Presenter polish,,aiops,TO DO,,phase-p7,,,,,,"Demo-layer finish work — none of it blocks the product.

Tracker id: p7"
Story,8,Execute against `collection_names`,,Phase 1 · Finish Fleet Operations,aiops,TO DO,3,lane-platform,phase-p1,,,,,"The bulk SCCM routes accept `collection_names` (and the UI sends them), but the handlers only pass `device_names` to the SCCM client — so targeting a collection alone executes against zero devices. Wire collection targeting through to execution.

What needs to be done:
1. In the bulk endpoints, resolve `collection_names` → member device names via the repository (`get_collection_by_name` → members).
2. Merge resolved members with explicit `device_names`; dedupe.
3. Pass the resolved device set to `install_updates` / `deploy_application` / `run_task_sequence` (extend the client/base signature if needed).
4. Ensure the audit params reflect the resolved set, not the raw request.

Definition of done:
- A request with only `collection_names` executes against that collection’s members.
- A request mixing devices + collections dedupes correctly.

Touchpoints:
- backend/app/modules/sccm/routes.py
- backend/app/modules/sccm/mock_client.py
- backend/app/modules/sccm/base.py
- backend/app/modules/sccm/repository.py

Note: Do together with `fleet-risk-collections` — share one resolution helper so the risk gate sees the same set.

Tracker id: fleet-collections-exec"
Story,9,"Risk gate counts collection members, not just named devices",,Phase 1 · Finish Fleet Operations,aiops,TO DO,2,lane-platform,phase-p1,,8,,,"Risk classification counts only `device_names`. With collection targeting, a 200-member collection looks like 0 targets, so escalation thresholds never fire and approvals get skipped.

What needs to be done:
1. Resolve `collection_names` → member count before classification (reuse the helper from `fleet-collections-exec`).
2. Pass the full resolved target set / count into `get_risk_classifier().classify()`.
3. Verify the `target_count` escalation rules in `risk_classification.yaml` fire on the true count.

Definition of done:
- Targeting a 200-member collection escalates as if 200 devices.
- install_updates over the configured threshold routes to approval.

Touchpoints:
- backend/app/modules/sccm/routes.py (_gate_bulk_action callers)
- backend/app/core/risk/classifier.py
- backend/config/risk_classification.yaml

Depends on: Execute against `collection_names`

Note: Sequence after / with `fleet-collections-exec`.

Tracker id: fleet-risk-collections"
Story,10,Gate `reboot_device` on the voice path,,Phase 1 · Finish Fleet Operations,aiops,TO DO,1,lane-platform,phase-p1,,,,,"The voice/chat path executes `reboot_device` directly, skipping the approval gate the REST bulk routes enforce. A voice ""reboot device X"" reboots an endpoint with no approval.

What needs to be done:
1. Add `reboot_device` to `_GATED_VOICE_TOOLS` and route it through `_gate_voice_action` in `agent.py`, like install/deploy.
2. Add a `reboot_device` entry to `risk_classification.yaml` if missing (default: requires approval).
3. Confirm any single-device REST reboot route is gated too.

Definition of done:
- A chat/voice reboot returns `approval_pending` when policy requires it, with an audit entry.
- Reboot risk is configured, not defaulted silently.

Touchpoints:
- backend/app/modules/sccm/agent.py
- backend/config/risk_classification.yaml

Note: Reboot is destructive on endpoints — default to requiring approval.

Tracker id: fleet-reboot-gate"
